BUYER_STATE,BUYER_COUNTY,MONTH,MME
CA,VENTURA,8,117941.34000000135
CA,VENTURA,9,118131.60000000258
CA,VENTURA,10,123701.96000000203
CA,VENTURA,11,120850.73000000212
CA,VENTURA,12,129636.43000000238
CA,YOLO,1,25738.89999999965
CA,YOLO,2,24198.5199999997
CA,YOLO,3,28473.97999999934
CA,YOLO,4,25874.55999999956
CA,YOLO,5,27705.929999999502
CA,YOLO,6,27234.509999999387
CA,YOLO,7,27322.789999999437
CA,YOLO,8,27313.159999999334
CA,YOLO,9,26219.589999999625
CA,YOLO,10,28339.61999999941
CA,YOLO,11,27289.859999999488
CA,YOLO,12,27975.45999999949
CA,YUBA,1,20107.31000000006
CA,YUBA,2,19623.75000000008
CA,YUBA,3,22088.800000000007
CA,YUBA,4,20619.120000000185
CA,YUBA,5,21227.93000000014
CA,YUBA,6,20952.84000000016
CA,YUBA,7,21232.310000000067
CA,YUBA,8,21589.97000000006
CA,YUBA,9,20689.410000000054
CA,YUBA,10,21152.430000000055
CA,YUBA,11,21026.0700000001
CA,YUBA,12,22548.870000000003
CO,ADAMS,1,59018.489999996666
CO,ADAMS,2,59129.699999997014
CO,ADAMS,3,68152.51999999656
CO,ADAMS,4,64270.99999999634
CO,ADAMS,5,66875.52999999617
CO,ADAMS,6,68076.5899999965
CO,ADAMS,7,68120.84999999651
CO,ADAMS,8,72005.77999999678
CO,ADAMS,9,68462.17999999686
CO,ADAMS,10,70204.95999999641
CO,ADAMS,11,68567.39999999707
CO,ADAMS,12,70403.22999999745
CO,ALAMOSA,1,7119.640000000018
CO,ALAMOSA,2,6550.190000000029
CO,ALAMOSA,3,7165.450000000011
CO,ALAMOSA,4,7469.690000000024
CO,ALAMOSA,5,7482.800000000021
CO,ALAMOSA,6,7978.310000000015
CO,ALAMOSA,7,7480.940000000012
CO,ALAMOSA,8,7717.290000000017
CO,ALAMOSA,9,7655.190000000011
CO,ALAMOSA,10,8704.120000000044
CO,ALAMOSA,11,7565.230000000027
CO,ALAMOSA,12,7414.670000000034
CO,ARAPAHOE,1,76446.41999999614
CO,ARAPAHOE,2,75767.78999999567
CO,ARAPAHOE,3,86541.61999999607
CO,ARAPAHOE,4,81528.6899999968
CO,ARAPAHOE,5,83758.35999999585
CO,ARAPAHOE,6,85317.7699999972
CO,ARAPAHOE,7,85774.74999999724
CO,ARAPAHOE,8,91310.3799999972
CO,ARAPAHOE,9,84976.03999999647
CO,ARAPAHOE,10,91237.0599999967
CO,ARAPAHOE,11,86617.57999999663
CO,ARAPAHOE,12,88279.07999999692
CO,ARCHULETA,1,880.59
CO,ARCHULETA,2,846.6699999999996
CO,ARCHULETA,3,901.3400000000005
CO,ARCHULETA,4,939.0000000000002
CO,ARCHULETA,5,872.6399999999998
CO,ARCHULETA,6,1010.0599999999991
CO,ARCHULETA,7,994.1299999999997
CO,ARCHULETA,8,1036.8900000000003
CO,ARCHULETA,9,962.2700000000006
CO,ARCHULETA,10,1030.0100000000002
CO,ARCHULETA,11,932.0000000000005
CO,ARCHULETA,12,992.7300000000001
CO,BACA,1,439.21999999999974
CO,BACA,2,399.66999999999985
CO,BACA,3,509.0299999999998
CO,BACA,4,447.6899999999995
CO,BACA,5,392.6099999999998
CO,BACA,6,478.1999999999996
CO,BACA,7,401.7200000000001
CO,BACA,8,534.2299999999997
CO,BACA,9,425.7599999999999
CO,BACA,10,476.16999999999956
CO,BACA,11,502.30999999999983
CO,BACA,12,476.1199999999998
CO,BENT,1,733.8499999999997
CO,BENT,2,623.6299999999992
CO,BENT,3,689.6899999999999
CO,BENT,4,808.1700000000003
CO,BENT,5,740.8999999999991
CO,BENT,6,814.7999999999998
