BUYER_STATE,BUYER_COUNTY,MONTH,MME
AR,NEVADA,1,975.3999999999996
AR,NEVADA,2,982.0899999999997
AR,NEVADA,3,1081.2399999999989
AR,NEVADA,4,1037.3200000000008
AR,NEVADA,5,974.4599999999991
AR,NEVADA,6,1155.669999999999
AR,NEVADA,7,1033.5999999999992
AR,NEVADA,8,1120.3099999999984
AR,NEVADA,9,1045.4299999999987
AR,NEVADA,10,1142.499999999999
AR,NEVADA,11,1175.0999999999988
AR,NEVADA,12,1211.8399999999997
AR,NEWTON,1,408.64999999999947
AR,NEWTON,2,412.7799999999993
AR,NEWTON,3,498.07999999999873
AR,NEWTON,4,480.5099999999988
AR,NEWTON,5,552.7899999999989
AR,NEWTON,6,559.5999999999985
AR,NEWTON,7,492.4399999999991
AR,NEWTON,8,489.81999999999914
AR,NEWTON,9,446.6199999999989
AR,NEWTON,10,472.189999999999
AR,NEWTON,11,518.0499999999992
AR,NEWTON,12,459.49999999999903
AR,OUACHITA,1,5085.010000000006
AR,OUACHITA,2,5052.120000000027
AR,OUACHITA,3,5418.670000000039
AR,OUACHITA,4,5117.000000000031
AR,OUACHITA,5,5650.030000000043
AR,OUACHITA,6,5552.590000000014
AR,OUACHITA,7,5808.670000000013
AR,OUACHITA,8,5527.690000000012
AR,OUACHITA,9,6035.180000000008
AR,OUACHITA,10,5725.310000000018
AR,OUACHITA,11,5791.660000000017
AR,OUACHITA,12,5872.060000000016
AR,PERRY,1,1428.859999999997
AR,PERRY,2,1406.7199999999966
AR,PERRY,3,1637.709999999997
AR,PERRY,4,1598.6699999999955
AR,PERRY,5,1414.7999999999975
AR,PERRY,6,1603.4399999999964
AR,PERRY,7,1696.129999999997
AR,PERRY,8,1577.879999999995
AR,PERRY,9,1910.5699999999965
AR,PERRY,10,1712.8599999999963
AR,PERRY,11,1872.5999999999963
AR,PERRY,12,1742.139999999995
AR,PHILLIPS,1,4656.17000000003
AR,PHILLIPS,2,4322.260000000042
AR,PHILLIPS,3,4756.850000000029
AR,PHILLIPS,4,4684.240000000046
AR,PHILLIPS,5,4828.610000000029
AR,PHILLIPS,6,5279.9100000000135
AR,PHILLIPS,7,5009.410000000036
AR,PHILLIPS,8,5121.500000000034
AR,PHILLIPS,9,4984.050000000007
AR,PHILLIPS,10,5066.500000000031
AR,PHILLIPS,11,4701.670000000032
AR,PHILLIPS,12,5264.970000000035
AR,PIKE,1,2996.720000000021
AR,PIKE,2,2762.4600000000087
AR,PIKE,3,2979.7600000000148
AR,PIKE,4,3378.040000000019
AR,PIKE,5,3244.2700000000204
AR,PIKE,6,3057.770000000017
AR,PIKE,7,3072.240000000023
AR,PIKE,8,3273.0000000000246
AR,PIKE,9,3087.640000000018
AR,PIKE,10,3260.7700000000227
AR,PIKE,11,3287.990000000024
AR,PIKE,12,2973.380000000015
AR,POINSETT,1,5308.790000000032
AR,POINSETT,2,5220.170000000029
AR,POINSETT,3,5452.790000000023
AR,POINSETT,4,5386.690000000019
AR,POINSETT,5,5446.250000000025
AR,POINSETT,6,5377.130000000009
AR,POINSETT,7,5593.970000000008
AR,POINSETT,8,5562.59000000002
AR,POINSETT,9,5593.740000000011
AR,POINSETT,10,5848.5200000000095
AR,POINSETT,11,5278.4000000000115
AR,POINSETT,12,5139.6800000000185
AR,POLK,1,5097.930000000029
AR,POLK,2,5243.870000000032
AR,POLK,3,6048.240000000021
AR,POLK,4,5566.420000000004
AR,POLK,5,5708.680000000017
AR,POLK,6,6053.200000000017
AR,POLK,7,6041.910000000023
AR,POLK,8,5894.610000000024
AR,POLK,9,6284.340000000016
AR,POLK,10,5680.780000000029
AR,POLK,11,5508.2000000000235
AR,POLK,12,6492.589999999993
AR,POPE,1,11718.460000000223
AR,POPE,2,10575.78000000016
AR,POPE,3,12841.580000000258
AR,POPE,4,11841.11000000023
AR,POPE,5,11638.960000000261
AR,POPE,6,11500.620000000237
AR,POPE,7,11806.120000000228
AR,POPE,8,11804.050000000234
AR,POPE,9,11858.640000000227
AR,POPE,10,12634.130000000314
AR,POPE,11,12065.150000000218
AR,POPE,12,12698.570000000253
AR,PRAIRIE,1,871.7300000000002
AR,PRAIRIE,2,846.7300000000002
AR,PRAIRIE,3,844.1200000000003
AR,PRAIRIE,4,994.7500000000015
AR,PRAIRIE,5,923.0300000000012
AR,PRAIRIE,6,1086.2100000000007
AR,PRAIRIE,7,786.7799999999997
AR,PRAIRIE,8,927.7199999999997
