BUYER_STATE,BUYER_COUNTY,YEAR/MONTH,FULL_STATES,MME/CAP,checker,final_checker,PolicyState,Post
FL,OKEECHOBEE,2010,Florida,1.3832,7.0,7,True,True
FL,OKEECHOBEE,2011,Florida,1.2359,7.0,7,True,True
FL,OKEECHOBEE,2012,Florida,0.8154,7.0,7,True,True
FL,ORANGE,2006,Florida,0.2304,7.0,7,True,False
FL,ORANGE,2007,Florida,0.2773,7.0,7,True,False
FL,ORANGE,2008,Florida,0.433,7.0,7,True,False
FL,ORANGE,2009,Florida,0.6089,7.0,7,True,False
FL,ORANGE,2010,Florida,0.9756,7.0,7,True,True
FL,ORANGE,2011,Florida,0.7514,7.0,7,True,True
FL,ORANGE,2012,Florida,0.4462,7.0,7,True,True
FL,OSCEOLA,2006,Florida,0.2099,7.0,7,True,False
FL,OSCEOLA,2007,Florida,0.2526,7.0,7,True,False
FL,OSCEOLA,2008,Florida,0.3558,7.0,7,True,False
FL,OSCEOLA,2009,Florida,0.8507,7.0,7,True,False
FL,OSCEOLA,2010,Florida,1.077,7.0,7,True,True
FL,OSCEOLA,2011,Florida,0.6777,7.0,7,True,True
FL,OSCEOLA,2012,Florida,0.4377,7.0,7,True,True
FL,PALM BEACH,2006,Florida,0.5024,7.0,7,True,False
FL,PALM BEACH,2007,Florida,0.7186,7.0,7,True,False
FL,PALM BEACH,2008,Florida,1.0304,7.0,7,True,False
FL,PALM BEACH,2009,Florida,1.3875,7.0,7,True,False
FL,PALM BEACH,2010,Florida,1.4375,7.0,7,True,True
FL,PALM BEACH,2011,Florida,0.7957,7.0,7,True,True
FL,PALM BEACH,2012,Florida,0.4619,7.0,7,True,True
FL,PASCO,2006,Florida,0.6107,7.0,7,True,False
FL,PASCO,2007,Florida,0.7851,7.0,7,True,False
FL,PASCO,2008,Florida,1.0724,7.0,7,True,False
FL,PASCO,2009,Florida,1.2134,7.0,7,True,False
FL,PASCO,2010,Florida,1.6389,7.0,7,True,True
FL,PASCO,2011,Florida,1.4538,7.0,7,True,True
FL,PASCO,2012,Florida,0.736,7.0,7,True,True
FL,PINELLAS,2006,Florida,0.6568,7.0,7,True,False
FL,PINELLAS,2007,Florida,0.6927,7.0,7,True,False
FL,PINELLAS,2008,Florida,1.0188,7.0,7,True,False
FL,PINELLAS,2009,Florida,1.1313,7.0,7,True,False
FL,PINELLAS,2010,Florida,1.569,7.0,7,True,True
FL,PINELLAS,2011,Florida,1.3746,7.0,7,True,True
FL,PINELLAS,2012,Florida,0.7456,7.0,7,True,True
FL,POLK,2006,Florida,0.3149,7.0,7,True,False
FL,POLK,2007,Florida,0.2902,7.0,7,True,False
FL,POLK,2008,Florida,0.2877,7.0,7,True,False
FL,POLK,2009,Florida,0.3323,7.0,7,True,False
FL,POLK,2010,Florida,0.4745,7.0,7,True,True
FL,POLK,2011,Florida,0.461,7.0,7,True,True
FL,POLK,2012,Florida,0.3773,7.0,7,True,True
FL,PUTNAM,2006,Florida,0.5175,7.0,7,True,False
FL,PUTNAM,2007,Florida,0.5278,7.0,7,True,False
FL,PUTNAM,2008,Florida,0.6041,7.0,7,True,False
FL,PUTNAM,2009,Florida,0.9557,7.0,7,True,False
FL,PUTNAM,2010,Florida,1.3079,7.0,7,True,True
FL,PUTNAM,2011,Florida,1.3161,7.0,7,True,True
FL,PUTNAM,2012,Florida,0.8028,7.0,7,True,True
FL,SAINT JOHNS,2006,Florida,0.2592,7.0,7,True,False
FL,SAINT JOHNS,2007,Florida,0.283,7.0,7,True,False
FL,SAINT JOHNS,2008,Florida,0.3117,7.0,7,True,False
FL,SAINT JOHNS,2009,Florida,0.4043,7.0,7,True,False
FL,SAINT JOHNS,2010,Florida,0.596,7.0,7,True,True
FL,SAINT JOHNS,2011,Florida,0.4695,7.0,7,True,True
FL,SAINT JOHNS,2012,Florida,0.3584,7.0,7,True,True
FL,SAINT LUCIE,2006,Florida,0.376,7.0,7,True,False
FL,SAINT LUCIE,2007,Florida,0.4213,7.0,7,True,False
FL,SAINT LUCIE,2008,Florida,0.5095,7.0,7,True,False
FL,SAINT LUCIE,2009,Florida,0.6082,7.0,7,True,False
FL,SAINT LUCIE,2010,Florida,0.7642,7.0,7,True,True
FL,SAINT LUCIE,2011,Florida,0.9739,7.0,7,True,True
FL,SAINT LUCIE,2012,Florida,0.5089,7.0,7,True,True
FL,SANTA ROSA,2006,Florida,0.3085,7.0,7,True,False
FL,SANTA ROSA,2007,Florida,0.3511,7.0,7,True,False
FL,SANTA ROSA,2008,Florida,0.3884,7.0,7,True,False
FL,SANTA ROSA,2009,Florida,0.4538,7.0,7,True,False
FL,SANTA ROSA,2010,Florida,0.5908,7.0,7,True,True
FL,SANTA ROSA,2011,Florida,0.5786,7.0,7,True,True
FL,SANTA ROSA,2012,Florida,0.5049,7.0,7,True,True
FL,SARASOTA,2006,Florida,0.5018,7.0,7,True,False
FL,SARASOTA,2007,Florida,0.6466,7.0,7,True,False
FL,SARASOTA,2008,Florida,0.8595,7.0,7,True,False
FL,SARASOTA,2009,Florida,0.9754,7.0,7,True,False
FL,SARASOTA,2010,Florida,1.123,7.0,7,True,True
FL,SARASOTA,2011,Florida,1.0798,7.0,7,True,True
FL,SARASOTA,2012,Florida,0.689,7.0,7,True,True
FL,SEMINOLE,2006,Florida,0.3261,7.0,7,True,False
FL,SEMINOLE,2007,Florida,0.4484,7.0,7,True,False
FL,SEMINOLE,2008,Florida,0.6157,7.0,7,True,False
FL,SEMINOLE,2009,Florida,0.7641,7.0,7,True,False
FL,SEMINOLE,2010,Florida,1.1628,7.0,7,True,True
FL,SEMINOLE,2011,Florida,1.2227,7.0,7,True,True
FL,SEMINOLE,2012,Florida,0.4324,7.0,7,True,True
FL,SUMTER,2006,Florida,0.1683,7.0,7,True,False
FL,SUMTER,2007,Florida,0.2044,7.0,7,True,False
FL,SUMTER,2008,Florida,0.2489,7.0,7,True,False
FL,SUMTER,2009,Florida,0.3372,7.0,7,True,False
FL,SUMTER,2010,Florida,0.6242,7.0,7,True,True
FL,SUMTER,2011,Florida,0.5543,7.0,7,True,True
FL,SUMTER,2012,Florida,0.4519,7.0,7,True,True
FL,SUWANNEE,2006,Florida,0.2364,7.0,7,True,False
FL,SUWANNEE,2007,Florida,0.2809,7.0,7,True,False
FL,SUWANNEE,2008,Florida,0.3184,7.0,7,True,False
FL,SUWANNEE,2009,Florida,0.3111,7.0,7,True,False
FL,SUWANNEE,2010,Florida,0.3173,7.0,7,True,True
FL,SUWANNEE,2011,Florida,0.3247,7.0,7,True,True
FL,SUWANNEE,2012,Florida,0.3159,7.0,7,True,True
FL,TAYLOR,2006,Florida,0.2666,7.0,7,True,False
FL,TAYLOR,2007,Florida,0.3101,7.0,7,True,False
